,title,institute,rate,ratingscount,level,enrollment,review_num,required_hour
0,AI Applications in People Management,University of Pennsylvania,4.5,,0,,,10.0
1,Einführung in die Datenanalyse mit Excel,Rice University,4.5,,0,,,17.0
2,Dashboarding and Deployment,"University of California, Irvine",4.5,,0,,,9.0
3,Data Science at Scale - Capstone Project,University of Washington,4.1,22,0,,,17.0
4,Big Data Services: Capstone Project,Yandex,4.5,,3,1768,,3.0
5,Serverless Machine Learning with Tensorflow on Google Cloud em Português Brasileiro,Google Cloud,4.4,13,2,,,14.0
6,Feature Engineering em Português Brasileiro,Google Cloud,4.5,13,2,,,18.0
7,Prepare for DP-203: Data Engineering on Microsoft Azure Exam,Microsoft,4.5,,2,,,5.0
8,Operational Analytics with Microsoft Azure Synapse Analytics,Microsoft,4.5,,2,,,12.0
9,Azure Data Lake Storage Gen2 and Data Streaming Solution,Microsoft,4.5,,2,,,9.0
10,AI Strategy and Governance,University of Pennsylvania,4.5,,1,,,10.0
11,Последовательные модели,DeepLearning.AI,4.5,,2,,,16.0
12,Trabalho de conclusão de Ciência de Dados Aplicada,IBM,4.5,,2,,,47.0
13,Business Intelligence con la Product Suite di Tableau,Università di Napoli Federico II,4.5,,3,,,25.0
14,Заключительный курс по теме «Прикладная наука о данных»,IBM,4.5,,2,,,47.0
15,Data Storytelling,"University of California, Irvine",4.5,,0,,,9.0
16,Building Resilient Streaming Systems on GCP em Português Brasileiro,Google Cloud,4.1,15,2,,,10.0
17,Art and Science of Machine Learning en Français,Google Cloud,4.5,,2,,,18.0
18,Art and Science of Machine Learning 日本語版,Google Cloud,4.3,7,2,,,18.0
19,كابستون علوم البيانات التطبيقية,IBM,4.5,,2,,,47.0
20,مؤثرات عرض البيانات باستخدام لغة بايثون,IBM,4.5,,2,,,17.0
21,Launching into Machine Learning em Português Brasileiro,Google Cloud,4.5,30,2,,6,20.0
22,Serverless Machine Learning with Tensorflow on Google Cloud auf Deutsch,Google Cloud,4.5,,2,,,15.0
23,منهجية علم البيانات,IBM,4.5,,1,,,10.0
24,Améliorez les réseaux neuronaux profonds,DeepLearning.AI,4.5,,1,,,18.0
25,Подготовка и анализ данных в Tableau,Moscow Institute of Physics and Technology,4.5,,3,,,5.0
26,Sprachtechnologie in den Digital Humanities,University of Zurich,4.8,22,1,,,17.0
27,Intro to TensorFlow em Português Brasileiro,Google Cloud,4.6,23,2,,,18.0
28,Art and Science of Machine Learning em Português Brasileiro,Google Cloud,4.6,14,2,,,19.0
29,TensorFlow を使った畳み込みニューラルネットワーク,DeepLearning.AI,4.5,,2,,,10.0
30,Creación de aplicaciones de IA con las API de Watson,IBM,4.5,,2,,,19.0
31,Visualização de dados com o Python,IBM,4.5,,2,,,17.0
32,Structurer des projets d’apprentissage automatique,DeepLearning.AI,4.5,,1,,,5.0
33,الحصول على البيانات وتنظيفها,Johns Hopkins University,4.5,,0,,,17.0
34,Повышение эффективности глубоких нейросетей,DeepLearning.AI,4.5,,1,,,18.0
35,تحليل البيانات الاستكشافية,Johns Hopkins University,4.5,,0,,,17.0
36,تعزيز الشبكات العصبية : ضبط وتحسين مقياس فرط المعلمات,DeepLearning.AI,4.5,,1,,,18.0
37,النماذج المتعاقبة,DeepLearning.AI,4.5,,2,,,16.0
38,Exploring NCAA Data with BigQuery,Google Cloud,4.5,,1,,,45.0
39,Modèles de séquence,DeepLearning.AI,4.5,,2,,,16.0
40,Ein Crashkurs in Datenwissenschaft,Johns Hopkins University,4.5,,0,,,17.0
41,Art and Science of Machine Learning en Español,Google Cloud,4.6,25,2,2210,10,20.0
42,Линейные модели с дискретными предикторами,Saint Petersburg State University,4.5,,2,,,12.0
43,Смешанные линейные модели,Saint Petersburg State University,4.5,,2,,,16.0
44,Intro to TensorFlow 日本語版,Google Cloud,3.9,11,2,,,19.0
45,Cours intensif sur la science des données,Johns Hopkins University,4.5,,0,,,17.0
46,Быстрый старт с Tableau Desktop,Moscow Institute of Physics and Technology,4.5,,1,,,11.0
47,Launching into Machine Learning en Français,Google Cloud,4.5,10,2,,3,20.0
48,Обобщенные линейные модели,Saint Petersburg State University,4.5,,2,,,16.0
49,Feature Engineering 日本語版,Google Cloud,4.4,9,2,,,18.0
50,Структурирование проектов по машинному обучению,DeepLearning.AI,4.5,,1,,,5.0
51,Data Storage in Microsoft Azure for Associate Developers,Microsoft,4.5,,2,,,16.0
52,Сверточные нейронные сети,DeepLearning.AI,4.5,,2,,,20.0
53,Proyecto Final de Analítica de Datos,IBM,4.5,,2,,,13.0
54,Neuronale Netze und Deep Learning,DeepLearning.AI,4.5,,2,,,20.0
55,Réseaux neuronaux convolutifs,DeepLearning.AI,4.5,,2,,,20.0
56,Communicating Data Science Results,University of Washington,3.6,134,0,15438,37,8.0
57,How Google does Machine Learning em Português Brasileiro,Google Cloud,4.8,72,2,,20,9.0
58,How Google does Machine Learning en Français,Google Cloud,4.3,15,2,,,8.0
59,Intro to TensorFlow en Français,Google Cloud,4.5,,2,,,19.0
60,الشبكات العصبونية الالتفافية,DeepLearning.AI,4.5,,2,,,20.0
61,Визуализация данных с помощью Python,IBM,4.5,,2,,,17.0
62,قواعد البيانات وSQL (لغة الاستعلام البنيوية) لعلم البيانات,IBM,4.5,,1,,,14.0
63,Recommender Systems Capstone,University of Minnesota,4.2,27,0,1683,,3.0
64,هيكلة مشاريع التعلم الآلي,DeepLearning.AI,4.5,,1,,,5.0
65,Mastering Software Development in R Capstone,Johns Hopkins University,4.0,41,2,1683,11,3.0
66,Инструментальная фонетика: компьютерные методы сбора и анализа данных,HSE University,4.5,,0,,,17.0
67,Intermediate Machine Learning: TensorFlow on Google Cloud,Google Cloud,4.5,,2,,,5.0
68,ما علم البيانات؟,IBM,4.5,,1,,,10.0
69,Feature Engineering en Español,Google Cloud,4.5,24,2,2386,8,18.0
70,Metodologia de Ciência de Dados,IBM,4.5,,1,,,10.0
71,Nursing Informatics Leadership Theory and Practice,University of Minnesota,4.7,35,1,1710,,19.0
72,Natural Language Processing and Capstone Assignment,"University of California, Irvine",4.4,14,2,,,5.0
73,‏SQL لعلوم البيانات,"University of California, Davis",4.5,,1,,,14.0
74,Advanced Machine Learning: Machine Learning Infrastructure,Google Cloud,4.5,,3,,,5.0
75,Машинное обучение на больших данных,HSE University,4.5,,2,,,48.0
76,Data Mining Project,University of Illinois at Urbana-Champaign,4.6,38,0,5939,8,11.0
77,Data Mining Project,University of Illinois at Urbana-Champaign,4.6,38,0,,,37.0
78,Data Analysis and Interpretation Capstone,Wesleyan University,4.7,40,0,,,17.0
79,Launching into Machine Learning en Español,Google Cloud,4.7,94,2,2907,23,20.0
80,Launching into Machine Learning 日本語版,Google Cloud,4.4,49,2,,9,20.0
81,Limpieza de datos para el procesamiento de lenguaje natural,Universidad Austral,4.5,,1,,,13.0
82,Fundamentals of  CNNs and RNNs,Sungkyunkwan University,3.8,8,1,,,5.0
83,مقاييس الأعمال للشركات التي تعتمد على البيانات,Duke University,4.5,11,0,,,17.0
84,Машинное обучение с использованием Python,IBM,4.5,,2,,,22.0
85,Meaningful Predictive Modeling,University of California San Diego,4.4,45,2,5120,9,9.0
86,"Understanding China, 1700-2000: A Data Analytic Approach, Part 2",The Hong Kong University of Science and Technology,4.6,50,0,,,17.0
87,Тренды и классификации,Novosibirsk State University ,4.5,37,2,3533,,19.0
88,Что такое обработка и анализ данных?,IBM,4.5,,1,,,10.0
89,Foundations of mining non-structured medical data,EIT Digital ,4.0,20,1,2307,8,7.0
90,AI Workflow: Enterprise Model Deployment,IBM,4.2,44,3,1934,9,9.0
91,Reproducible Templates for Analysis and Dissemination,Emory University,4.6,16,1,1777,10,20.0
92,Data Visualization Best Practices,"University of California, Irvine",4.5,,0,,,9.0
93,Capstone: Analyzing (Social) Network Data,University of California San Diego,4.7,97,0,,,17.0
94,Машинное обучение для руководителей,E-Learning Development Fund,4.4,14,1,,,5.0
95,Réseaux neuronaux et Deep Learning,DeepLearning.AI,4.5,,2,,,20.0
96,Data Mining Project,University of Colorado Boulder,4.5,,2,5939,8,11.0
97,Data Mining Project,University of Colorado Boulder,4.5,,2,,,37.0
98,Hands-on Text Mining and Analytics,Yonsei University,3.9,39,2,13292,9,13.0
99,Линейная регрессия,Saint Petersburg State University,4.9,11,2,1536,,14.0
100,التعلّم الآلي باستخدام لغة بايثون,IBM,4.5,,2,,,22.0
101,Neural Networks and Random Forests,LearnQuest,4.5,,2,,,10.0
102,Big Data: capstone project,Universitat Autònoma de Barcelona,4.7,48,3,3881,22,13.0
103,Data Analytics Foundations for Accountancy II,University of Illinois at Urbana-Champaign,4.8,8,0,2881,,17.0
104,AI Workflow: AI in Production,IBM,4.5,41,3,2336,10,17.0
105,Introducción al Aprendizaje Profundo,Universidad Austral,4.5,,1,,,7.0
106,Causal Inference  2,Columbia University,3.4,13,3,3601,,6.0
107,Importing Data in the Tidyverse,Johns Hopkins University,4.6,20,1,,3,15.0
108,R البرمجة باستخدام لغة,Johns Hopkins University,4.5,,2,,,59.0
109,Combining and Analyzing Complex Data,"University of Maryland, College Park",4.2,54,0,7049,8,10.0
110,Data for Machine Learning,Alberta Machine Intelligence Institute,4.4,87,2,6200,24,12.0
111,Visualizing Data in the Tidyverse,Johns Hopkins University,4.4,7,0,,,17.0
112,Capstone Project: Predicting Safety Stock,LearnQuest,4.5,,2,,,10.0
113,Estadísticas para la Ciencia de Datos con Python,IBM,4.5,,0,,,12.0
114,Practical Predictive Analytics: Models and Methods,University of Washington,4.1,306,0,,,17.0
115,Global Statistics - Composite Indices for International Comparisons,University of Geneva,4.6,37,2,2809,18,16.0
116,Introduction à l'analyse de données à l'aide d'Excel,Rice University,4.5,,0,,,17.0
117,"Cluster Analysis, Association Mining, and Model Evaluation","University of California, Irvine",4.6,22,2,,,4.0
118,"Build Regression, Classification, and Clustering Models",CertNexus,4.5,,2,,,20.0
119,مجموعة أدوات عالم البيانات,Johns Hopkins University,4.5,8,0,,,17.0
120,Advanced Clinical Data Science,University of Colorado System,4.9,8,2,,,4.0
121,Structural Equation Model and its Applications | 结构方程模型及其应用 (粤语),The Chinese University of Hong Kong,4.8,20,0,2398,,17.0
122,Optimizing Machine Learning Performance,Alberta Machine Intelligence Institute,4.6,38,0,5319,8,12.0
123,Python para a Ciência de Dados e IA,IBM,4.5,,1,,,29.0
124,Методология обработки и анализа данных,IBM,4.5,,1,,,10.0
125,Visualizing & Communicating Results in Python with Jupyter,Codio,4.5,,1,,,9.0
126,Advanced Linear Models for Data Science 2: Statistical Linear Models,Johns Hopkins University,4.6,70,3,19829,12,6.0
127,Introduction to Formal Concept Analysis,HSE University,4.8,36,2,7385,14,26.0
128,Estimating ML-Models Financial Impact,HSE University,4.5,,2,,,20.0
129,Machine Learning Models in Science,LearnQuest,4.5,,2,,,12.0
130,Using SAS Viya REST APIs with Python and R,SAS,4.5,11,0,2910,,17.0
131,Visualizing Data & Communicating Results in R with RStudio,Codio,4.5,,1,,,10.0
132,Big Data Applications: Machine Learning at Scale,Yandex,3.8,86,3,10807,22,28.0
133,Design Thinking and Predictive Analytics for Data Products,University of California San Diego,4.5,61,2,7668,11,8.0
134,Practical Machine Learning on H2O,H2O,4.5,70,2,7291,17,24.0
135,"Build Decision Trees, SVMs, and Artificial Neural Networks",CertNexus,5.0,6,2,,,22.0
136,Wrangling Data in the Tidyverse,Johns Hopkins University,4.8,14,0,,5,14.0
137,بايثون لعلوم البيانات والذكاء الصناعي,IBM,4.5,,1,,,29.0
138,الشبكات العصبية والتعلم العميق,DeepLearning.AI,4.6,9,2,3446,,19.0
139,Doing Clinical Research: Biostatistics with the Wolfram Language,University of Cape Town,4.7,38,1,3674,10,15.0
140,Clinical Natural Language Processing,University of Colorado System,3.4,18,2,3669,9,12.0
141,"Predictive Modeling, Model Fitting, and Regression Analysis","University of California, Irvine",4.5,24,2,,2,4.0
142,Fundamentals of Data Analysis,LearnQuest,4.2,9,1,,,18.0
143,Статистические методы в гуманитарных исследованиях,National Research Tomsk State University,4.7,61,2,5506,20,20.0
144,Advanced Recommender Systems,EIT Digital ,4.0,7,2,,,15.0
145,Artificial Intelligence Privacy and Convenience,LearnQuest,4.6,37,2,1832,9,6.0
146,Statistics with R Capstone,Duke University,4.6,202,0,7354,51,6.0
147,Artificial Intelligence Ethics in Action,LearnQuest,4.7,22,2,1736,,6.0
148,ANOVA and Experimental Design,University of Colorado Boulder,4.5,,2,,,39.0
149,Practical SAS Programming and Certification Review,SAS,4.9,350,2,13228,62,21.0
150,مقدمة عن البيانات الضخمة,University of California San Diego,4.5,79,0,2440,,17.0
151,Case studies in business analytics with ACCENTURE,ESSEC Business School,3.7,196,0,,,17.0
152,Data Mining Methods,University of Colorado Boulder,4.5,,2,,,22.0
153,Deploying Machine Learning Models,University of California San Diego,3.6,47,0,8484,14,11.0
154,Data Science Project: MATLAB for the Real World,MathWorks,4.8,15,2,2877,8,13.0
155,Matrix Factorization and Advanced Techniques,University of Minnesota,4.3,177,0,13378,26,16.0
156,Bayesian Statistics: Mixture Models,"University of California, Santa Cruz",4.7,23,3,5117,8,22.0
157,Power and Sample Size for Multilevel and Longitudinal Study Designs,University of Florida,4.4,23,2,3588,4,24.0
158,Introduction to the Tidyverse,Johns Hopkins University,3.9,19,1,1617,,8.0
159,Simulation Models for Decision Making,University of Minnesota,4.4,8,1,,,17.0
160,Обработка больших данных,HSE University,4.5,,2,,,42.0
161,人工智慧：機器學習與理論基礎 (Artificial Intelligence - Learning & Theory),National Taiwan University,4.6,38,2,7473,3,12.0
162,O que é ciência de dados?,IBM,4.5,,1,,,10.0
163,Знакомство с R и базовая статистика,Saint Petersburg State University,4.8,68,1,6249,18,20.0
164,Iniciación A La IA con IBM Watson,IBM,4.7,44,1,,9,9.0
165,Data Science for Business Innovation,EIT Digital ,4.3,166,1,7621,49,7.0
166,Введение в науку о данных (An Introduction to Data Science),Saint Petersburg State University,3.9,54,0,7433,,17.0
167,機器學習技法 (Machine Learning Techniques),National Taiwan University,4.9,20,2,,,17.0
168,Fundamentos de la visualización de datos con Tableau,Universidad Austral,4.7,23,1,,9,8.0
169,Data Analytics Foundations for Accountancy I,University of Illinois at Urbana-Champaign,4.3,28,0,7117,10,17.0
